2023-08-02 20:58:47,774:INFO:131] match_or_register_events for fox_bets
2023-08-02 20:58:47,775:INFO:131] match_or_register_events for bovada
2023-08-02 20:58:48,778:INFO:179] match_or_register_markets for bovada
2023-08-02 20:58:48,778:INFO:181] 188 for bovada
2023-08-02 20:58:49,635:INFO:179] match_or_register_markets for fox_bets
2023-08-02 20:58:49,636:INFO:181] 0 for fox_bets
2023-08-02 20:58:54,692:DEBUG:120] successful match: Selection(id='1370022195', name='Under - 1H', odds=1.757576), [(Selection(id=150, name='Under - 1H', odds=None), 100)]
2023-08-02 20:58:54,695:DEBUG:117] successful no match: Selection(id='1370022203', name='No', odds=2.45), [(Selection(id=151, name='Yes', odds=None), 0)]
2023-08-02 20:58:54,698:DEBUG:117] successful no match: Selection(id='1370022219', name='No - 1H', odds=1.26), [(Selection(id=153, name='Yes - 1H', odds=None), 55)]
2023-08-02 20:58:55,106:DEBUG:117] successful no match: Selection(id='1370022782', name='Cagliari', odds=4.6), [(Selection(id=155, name='Torino', odds=None), 29)]
2023-08-02 20:58:55,109:DEBUG:117] successful no match: Selection(id='1370022783', name='Draw', odds=3.55), [(Selection(id=155, name='Torino', odds=None), 44), (Selection(id=156, name='Cagliari', odds=None), 18)]
2023-08-02 20:58:55,117:DEBUG:117] successful no match: Selection(id='1370022799', name='Cagliari - 1H', odds=5.6), [(Selection(id=158, name='Torino - 1H', odds=None), 50)]
2023-08-02 20:58:55,120:DEBUG:117] successful no match: Selection(id='1370022800', name='Draw - 1H', odds=2.1), [(Selection(id=158, name='Torino - 1H', odds=None), 50), (Selection(id=159, name='Cagliari - 1H', odds=None), 44)]
2023-08-02 20:58:55,122:DEBUG:120] successful match: Selection(id='1370023283', name='Over', odds=1.105), [(Selection(id=7, name='Over', odds=None), 100)]
2023-08-02 20:58:55,123:DEBUG:120] successful match: Selection(id='1370023285', name='Under', odds=6.75), [(Selection(id=8, name='Under', odds=None), 100)]
2023-08-02 20:58:55,125:DEBUG:120] successful match: Selection(id='1370023275', name='Over', odds=1.392157), [(Selection(id=7, name='Over', odds=None), 100)]
2023-08-02 20:58:55,126:DEBUG:120] successful match: Selection(id='1370023276', name='Under', odds=3.05), [(Selection(id=8, name='Under', odds=None), 100)]
2023-08-02 20:58:55,127:DEBUG:120] successful match: Selection(id='1370023267', name='Over', odds=1.645161), [(Selection(id=7, name='Over', odds=None), 100)]
2023-08-02 20:58:55,129:DEBUG:120] successful match: Selection(id='1370023268', name='Under', odds=2.28), [(Selection(id=8, name='Under', odds=None), 100)]
2023-08-02 20:58:55,130:DEBUG:120] successful match: Selection(id='1370023269', name='Over', odds=2.2), [(Selection(id=7, name='Over', odds=None), 100)]
2023-08-02 20:58:55,130:DEBUG:120] successful match: Selection(id='1370023270', name='Under', odds=1.69), [(Selection(id=8, name='Under', odds=None), 100)]
2023-08-02 20:58:55,131:DEBUG:120] successful match: Selection(id='1370023277', name='Over', odds=3.3), [(Selection(id=7, name='Over', odds=None), 100)]
2023-08-02 20:58:55,132:DEBUG:120] successful match: Selection(id='1370023278', name='Under', odds=1.344828), [(Selection(id=8, name='Under', odds=None), 100)]
2023-08-02 20:58:55,133:DEBUG:120] successful match: Selection(id='1370023286', name='Over', odds=4.05), [(Selection(id=7, name='Over', odds=None), 100)]
2023-08-02 20:58:55,134:DEBUG:120] successful match: Selection(id='1370023288', name='Under', odds=1.243902), [(Selection(id=8, name='Under', odds=None), 100)]
2023-08-02 20:58:55,170:DEBUG:117] successful no match: Selection(id='1370023477', name='Under', odds=2.18), [(Selection(id=161, name='Over', odds=None), 0)]
2023-08-02 20:58:55,171:DEBUG:120] successful match: Selection(id='1370023478', name='Over', odds=4.35), [(Selection(id=161, name='Over', odds=None), 100)]
2023-08-02 20:58:55,172:DEBUG:120] successful match: Selection(id='1370023479', name='Under', odds=1.222222), [(Selection(id=162, name='Under', odds=None), 100)]
2023-08-02 20:58:55,172:DEBUG:120] successful match: Selection(id='1370023480', name='Over', odds=13.0), [(Selection(id=161, name='Over', odds=None), 100)]
2023-08-02 20:58:55,173:DEBUG:120] successful match: Selection(id='1370023481', name='Under', odds=1.02), [(Selection(id=162, name='Under', odds=None), 100)]
2023-08-02 20:58:55,173:DEBUG:120] successful match: Selection(id='1370023482', name='Over', odds=20.0), [(Selection(id=161, name='Over', odds=None), 100)]
2023-08-02 20:58:55,173:DEBUG:120] successful match: Selection(id='1370023483', name='Under', odds=1.005), [(Selection(id=162, name='Under', odds=None), 100)]
2023-08-02 20:58:55,174:DEBUG:120] successful match: Selection(id='1370023484', name='Over', odds=21.0), [(Selection(id=161, name='Over', odds=None), 100)]
2023-08-02 20:58:55,174:DEBUG:120] successful match: Selection(id='1370023485', name='Under', odds=1.004), [(Selection(id=162, name='Under', odds=None), 100)]
2023-08-02 20:58:55,189:DEBUG:120] successful match: Selection(id='1370023307', name='Over', odds=1.232558), [(Selection(id=161, name='Over', odds=None), 100)]
2023-08-02 20:58:55,189:DEBUG:120] successful match: Selection(id='1370023308', name='Under', odds=4.2), [(Selection(id=162, name='Under', odds=None), 100)]
